influencer_id,bio,recent_captions,combined_text_clean,niche_cluster,niche_keywords
1,Fashion blogger and lifestyle creator.,Trying new recipes today,fashion blogger and lifestyle creator trying new recipes today,3,"blogger, blogger lifestyle, creator"
2,Tech reviewer specializing in AI gadgets.,Testing the latest smartphone,tech reviewer specializing in ai gadgets testing the latest smartphone,1,"ai, ai gadgets, gadgets"
3,Fitness coach focused on home workouts.,Skincare routine updated!,fitness coach focused on home workouts skincare routine updated,6,"coach, coach focused, fitness"
4,Beauty influencer reviewing skincare products.,Trying new recipes today,beauty influencer reviewing skincare products trying new recipes today,0,"beauty, beauty influencer, influencer"
5,Food vlogger exploring global cuisine.,Skincare routine updated!,food vlogger exploring global cuisine skincare routine updated,3,"blogger, blogger lifestyle, creator"
6,Motivational speaker & mental wellness advocate.,Skincare routine updated!,motivational speaker  mental wellness advocate skincare routine updated,2,"advocate, mental wellness, motivational"
7,Motivational speaker & mental wellness advocate.,Testing the latest smartphone,motivational speaker  mental wellness advocate testing the latest smartphone,2,"advocate, mental wellness, motivational"
8,Beauty influencer reviewing skincare products.,Testing the latest smartphone,beauty influencer reviewing skincare products testing the latest smartphone,0,"beauty, beauty influencer, influencer"
9,Travel photographer capturing landscapes.,Testing the latest smartphone,travel photographer capturing landscapes testing the latest smartphone,4,"capturing, capturing landscapes, landscapes"
10,Fashion blogger and lifestyle creator.,New outfit today #style,fashion blogger and lifestyle creator new outfit today style,3,"blogger, blogger lifestyle, creator"
11,Parenting blogger sharing family tips.,Investing basics explained,parenting blogger sharing family tips investing basics explained,7,"blogger, blogger sharing, family tips"
12,Motivational speaker & mental wellness advocate.,Investing basics explained,motivational speaker  mental wellness advocate investing basics explained,2,"advocate, mental wellness, motivational"
13,Travel photographer capturing landscapes.,Trying new recipes today,travel photographer capturing landscapes trying new recipes today,4,"capturing, capturing landscapes, landscapes"
14,Fitness coach focused on home workouts.,New outfit today #style,fitness coach focused on home workouts new outfit today style,6,"coach, coach focused, fitness"
15,Tech reviewer specializing in AI gadgets.,New game release review,tech reviewer specializing in ai gadgets new game release review,1,"ai, ai gadgets, gadgets"
16,Beauty influencer reviewing skincare products.,Morning workout session!,beauty influencer reviewing skincare products morning workout session,0,"beauty, beauty influencer, influencer"
17,Parenting blogger sharing family tips.,New game release review,parenting blogger sharing family tips new game release review,7,"blogger, blogger sharing, family tips"
18,Beauty influencer reviewing skincare products.,New outfit today #style,beauty influencer reviewing skincare products new outfit today style,0,"beauty, beauty influencer, influencer"
19,Tech reviewer specializing in AI gadgets.,Stay positive every day!,tech reviewer specializing in ai gadgets stay positive every day,1,"ai, ai gadgets, gadgets"
20,Beauty influencer reviewing skincare products.,Family day out!,beauty influencer reviewing skincare products family day out,0,"beauty, beauty influencer, influencer"
21,Beauty influencer reviewing skincare products.,New game release review,beauty influencer reviewing skincare products new game release review,0,"beauty, beauty influencer, influencer"
22,Tech reviewer specializing in AI gadgets.,Trying new recipes today,tech reviewer specializing in ai gadgets trying new recipes today,1,"ai, ai gadgets, gadgets"
23,Beauty influencer reviewing skincare products.,Family day out!,beauty influencer reviewing skincare products family day out,0,"beauty, beauty influencer, influencer"
24,Beauty influencer reviewing skincare products.,Testing the latest smartphone,beauty influencer reviewing skincare products testing the latest smartphone,0,"beauty, beauty influencer, influencer"
25,Fashion blogger and lifestyle creator.,Trying new recipes today,fashion blogger and lifestyle creator trying new recipes today,3,"blogger, blogger lifestyle, creator"
26,Beauty influencer reviewing skincare products.,Sunset views from mountains,beauty influencer reviewing skincare products sunset views from mountains,0,"beauty, beauty influencer, influencer"
27,Travel photographer capturing landscapes.,Stay positive every day!,travel photographer capturing landscapes stay positive every day,4,"capturing, capturing landscapes, landscapes"
28,Tech reviewer specializing in AI gadgets.,Sunset views from mountains,tech reviewer specializing in ai gadgets sunset views from mountains,5,"ai, ai gadgets, gadgets"
29,Fitness coach focused on home workouts.,New outfit today #style,fitness coach focused on home workouts new outfit today style,6,"coach, coach focused, fitness"
30,Motivational speaker & mental wellness advocate.,New outfit today #style,motivational speaker  mental wellness advocate new outfit today style,2,"advocate, mental wellness, motivational"
